Win32_Product: E-reader (IdentifyingNumber = "{474650A3-D2E4-4746-8974-722CB525550A}", Name = "E-reader", Version = "1.0.0")
Win32_Product: Facebook Gameroom 1.10.6515.35995 (IdentifyingNumber = "{0B5F75BB-9192-4E2C-A0A6-D07DC31A2E84}", Name = "Facebook Gameroom 1.10.6515.35995", Version = "1.10.6515.35995")
Win32_Product: Setup (IdentifyingNumber = "{0990608D-35C6-4CF8-9B61-7C0F72F1EE4B}", Name = "Setup", Version = "1.0.0")
Win32_Product: JetBrains ReSharper 9 (IdentifyingNumber = "{2663211F-9CB2-4881-9BA0-EBE2F41438D3}", Name = "JetBrains ReSharper 9", Version = "9.0.0.0")
Win32_Product: Microsoft Application Error Reporting (IdentifyingNumber = "{95120000-00B9-0409-0000-0000000FF1CE}", Name = "Microsoft Application Error Reporting", Version = "12.0.6012.5000")
Win32_Product: Office 16 Click-to-Run Extensibility Component (IdentifyingNumber = "{90160000-008C-0000-0000-0000000FF1CE}", Name = "Office 16 Click-to-Run Extensibility Co..., Version = "16.0.8201.2209")
Win32_Product: Office 16 Click-to-Run Localization Component (IdentifyingNumber = "{90160000-008C-0413-0000-0000000FF1CE}", Name = "Office 16 Click-to-Run Localization Com..., Version = "16.0.8201.2075")
Win32_Product: Office 16 Click-to-Run Extensibility Component 64-bit Registration (IdentifyingNumber = "{90160000-00DD-0000-1000-0000000FF1CE}", Name = "Office 16 Click-to-Run Extensibility Co..., Version = "16.0.8201.2209")
Win32_Product: Office 16 Click-to-Run Licensing Component (IdentifyingNumber = "{90160000-008F-0000-1000-0000000FF1CE}", Name = "Office 16 Click-to-Run Licensing Compon..., Version = "16.0.8201.2209")
Win32_Product: Visual C++ IDE Core Professional Plus Resource Package (IdentifyingNumber = "{1DC85000-B0F8-325F-AD01-2770D36517D5}", Name = "Visual C?? IDE Core Professional Plus R..., Version = "14.0.25420")
Win32_Product: Microsoft Visual Studio 2015 Update 3 Performance Debugger Web Views (IdentifyingNumber = "{A5C0F000-F324-46D3-BBD9-5F6AD1886B12}", Name = "Microsoft Visual Studio 2015 Update 3 P..., Version = "14.0.25420")
Win32_Product: Microsoft SQL Server System CLR Types (IdentifyingNumber = "{C3F6F200-6D7B-4879-B9EE-700C0CE1FCDA}", Name = "Microsoft SQL Server System CLR Types", Version = "10.51.2500.0")
Win32_Product: Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (IdentifyingNumber = "{6A0C6700-EA93-372C-8871-DCCF13D160A4}", Name = "Microsoft .NET Framework 4.5.1 Multi-Ta..., Version = "4.5.50932")
Win32_Product: Microsoft SQL Server Compact 4.0 SP1 x64 ENU (IdentifyingNumber = "{78909610-D229-459C-A936-25D92283D3FD}", Name = "Microsoft SQL Server Compact 4.0 SP1 x6..., Version = "4.0.8876.1")
Win32_Product: Microsoft VisualStudio JavaScript Language Service (IdentifyingNumber = "{42C14710-7126-489A-8899-C73AE77E5345}", Name = "Microsoft VisualStudio JavaScript Langu..., Version = "14.0.25527")
Win32_Product: SQL Server 2012 Client Tools (IdentifyingNumber = "{7842C220-6E9A-4D5A-AE70-0E138271F883}", Name = "SQL Server 2012 Client Tools", Version = "11.3.6020.0")
Win32_Product: Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU) (IdentifyingNumber = "{290FC320-2F5A-329E-8840-C4193BD7A9EE}", Name = "Microsoft .NET Framework 4.5.2 Multi-Ta..., Version = "4.5.51209")
Win32_Product: Microsoft Visual Studio 2015 Performance Collection Tools (IdentifyingNumber = "{FCC6E820-B5DB-454E-96E3-B6182DDEEC8D}", Name = "Microsoft Visual Studio 2015 Performanc..., Version = "14.0.23107")
Win32_Product: Microsoft Help Viewer 1.1 (IdentifyingNumber = "{E5748D30-7E6D-3A8E-BFE6-C1D02C6DDABB}", Name = "Microsoft Help Viewer 1.1", Version = "1.1.40219")
Win32_Product: IIS 10.0 Express (IdentifyingNumber = "{13FD7E30-D2F1-498D-ABC2-A4242DB6610E}", Name = "IIS 10.0 Express", Version = "10.0.1736")
Win32_Product: Microsoft Visual Studio 2015 Performance Collection Tools - ENU (IdentifyingNumber = "{3AE40040-2F48-4617-9228-49E999738BDB}", Name = "Microsoft Visual Studio 2015 Performanc..., Version = "14.0.23107")
Win32_Product: Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4974 (IdentifyingNumber = "{B7E38540-E355-3503-AFD7-635B2F2F76E1}", Name = "Microsoft Visual C?? 2008 Redistributab..., Version = "9.0.30729.4974")
Win32_Product: Microsoft SQL Server 2012 Policies  (IdentifyingNumber = "{DC487E40-046E-42A9-9C7C-5D2B1A7EB211}", Name = "Microsoft SQL Server 2012 Policies ", Version = "11.0.2100.60")
Win32_Product: Visual C++ IDE Core Professional Plus Resource Package (IdentifyingNumber = "{4E61EF40-8A51-3D99-AA4C-32F203370083}", Name = "Visual C?? IDE Core Professional Plus R..., Version = "14.0.25420")
Win32_Product: SQL Server 2016 Client Tools (IdentifyingNumber = "{9478E350-F157-4724-AE17-6ADA0E9E2351}", Name = "SQL Server 2016 Client Tools", Version = "13.0.14500.10")
Win32_Product: Visual C++ IDE x64 Package (IdentifyingNumber = "{60DED060-0B6B-3CC1-B955-D0CD401F0FBA}", Name = "Visual C?? IDE x64 Package", Version = "14.0.25420")
Win32_Product: Microsoft Visual Studio Community 2015 (IdentifyingNumber = "{DE064F60-6522-3310-9665-B5E3E78B3638}", Name = "Microsoft Visual Studio Community 2015", Version = "14.0.23107")
Win32_Product: Azure AD Authentication Connected Service (IdentifyingNumber = "{8A1AD070-269F-4A15-AAB5-76AB896EF195}", Name = "Azure AD Authentication Connected Servi..., Version = "14.0.25420")
Win32_Product: Blend for Visual Studio SDK for .NET 4.5 (IdentifyingNumber = "{37E53780-3944-4A6A-842F-727128E8616E}", Name = "Blend for Visual Studio SDK for .NET 4...., Version = "3.0.40218.0")
Win32_Product: Microsoft .NET Framework 4.6.1 SDK (IdentifyingNumber = "{2F0ECC80-B9E4-4485-8083-CD32F22ABD92}", Name = "Microsoft .NET Framework 4.6.1 SDK", Version = "4.6.01055")
Win32_Product: Microsoft SQL Server 2012 Transact-SQL ScriptDom  (IdentifyingNumber = "{076FF390-D283-4174-B602-B0B7B72BD024}", Name = "Microsoft SQL Server 2012 Transact-SQL ..., Version = "11.3.6020.0")
Win32_Product: Oracle VM VirtualBox 5.1.28 (IdentifyingNumber = "{11BAF690-37C7-4A56-B518-3696BD15592F}", Name = "Oracle VM VirtualBox 5.1.28", Version = "5.1.28")
Win32_Product: Metric Collection SDK 35 (IdentifyingNumber = "{C2B5B5B0-2545-4E94-B4BA-548D4BF0B196}", Name = "Metric Collection SDK 35", Version = "1.2.0006.00")
Win32_Product: SQL Server 2016 Database Engine Shared (IdentifyingNumber = "{686A81C0-C8E4-46F6-952F-B19A28E8C430}", Name = "SQL Server 2016 Database Engine Shared", Version = "13.1.4001.0")
Win32_Product: Microsoft ASP.NET MVC 4 - Visual Studio 2015 - ENU (IdentifyingNumber = "{44A100D0-C1AE-4BB7-A0CC-AA60B7566681}", Name = "Microsoft ASP.NET MVC 4 - Visual Studio..., Version = "4.1.41102.0")
Win32_Product: Setup (IdentifyingNumber = "{6CA068D0-A01E-4290-A495-B4751A7B9B9C}", Name = "Setup", Version = "1.0.0")
Win32_Product: Visual C++ IDE Core Package (IdentifyingNumber = "{81B64FE0-5DC1-35D4-A51E-AD11803C520C}", Name = "Visual C?? IDE Core Package", Version = "14.0.25431")
Win32_Product: Microsoft SQL Server 2014 Transact-SQL ScriptDom  (IdentifyingNumber = "{020CDFE0-C127-4047-B571-37C82396B662}", Name = "Microsoft SQL Server 2014 Transact-SQL ..., Version = "12.0.2000.8")
Win32_Product: SQL Server 2016 Connection Info (IdentifyingNumber = "{8A3AE1F0-0752-435D-A01C-033BDD629C8B}", Name = "SQL Server 2016 Connection Info", Version = "13.0.14500.10")
Win32_Product: Microsoft .NET Framework 4.5 Multi-Targeting Pack (IdentifyingNumber = "{56E962F0-4FB0-3C67-88DB-9EAA6EEFC493}", Name = "Microsoft .NET Framework 4.5 Multi-Targ..., Version = "4.5.50710")
Win32_Product: Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 (IdentifyingNumber = "{4B6C7001-C7D6-3710-913E-5BC23FCE91E6}", Name = "Microsoft Visual C?? 2008 Redistributab..., Version = "9.0.30729.4148")
Win32_Product: VS Update core components (IdentifyingNumber = "{B2918D01-1D89-34D3-87EF-A28121BC6EB7}", Name = "VS Update core components", Version = "14.0.25431")
Win32_Product: Microsoft Visual Studio Team Foundation Server 2015 Update 3 CTP1 Office Integration Language Pack (x64) - ENU (IdentifyingNumber = "{F04AB121-B3E1-39FE-8A5E-EF8484210107}", Name = "Microsoft Visual Studio Team Foundation..., Version = "14.98.25331")
Win32_Product: Microsoft Visual C++ 2015 x64 Debug Runtime - 14.0.24215 (IdentifyingNumber = "{406CC721-9FAD-3610-B44E-3130F84358D8}", Name = "Microsoft Visual C?? 2015 x64 Debug Run..., Version = "14.0.24215")
Win32_Product: Visual C++ IDE Common Resource Package (IdentifyingNumber = "{EFE03B21-A8A5-3CCD-81BD-7FC47007F1BA}", Name = "Visual C?? IDE Common Resource Package", Version = "14.0.25420")
Win32_Product: SQL Server 2016 Shared Management Objects (IdentifyingNumber = "{F8001E21-CFCC-47AD-A3B1-6B3EB6D35E48}", Name = "SQL Server 2016 Shared Management Objec..., Version = "13.0.14500.10")
Win32_Product: IBM Personal Communications (IdentifyingNumber = "{B3AE8231-C74A-4412-8701-EB494088C7A5}", Name = "IBM Personal Communications", Version = "6.0.1")
Win32_Product: SQL Server 2016 Shared Management Objects (IdentifyingNumber = "{D3FC7A31-F127-4E2A-96F6-B24FA7D3FFAF}", Name = "SQL Server 2016 Shared Management Objec..., Version = "13.0.14500.10")
Win32_Product: Microsoft VisualStudio JavaScript Project System (IdentifyingNumber = "{1637E141-7E5A-4DE9-9D52-0F6334AC3474}", Name = "Microsoft VisualStudio JavaScript Proje..., Version = "14.0.25527")
Win32_Product: Microsoft SQL Server 2016 RsFx Driver (IdentifyingNumber = "{B48E0F51-4C4A-45A2-ABFD-89D7D5F8AFB4}", Name = "Microsoft SQL Server 2016 RsFx Driver", Version = "13.1.4001.0")
Win32_Product: Microsoft SQL Server 2012 Command Line Utilities  (IdentifyingNumber = "{9D573E71-1077-4C7E-B4DB-4E22A5D2B48B}", Name = "Microsoft SQL Server 2012 Command Line ..., Version = "11.0.2100.60")
Win32_Product: Microsoft Build Tools 14.0 (amd64) (IdentifyingNumber = "{79750C81-714E-45F2-B5DE-42DEF00687B8}", Name = "Microsoft Build Tools 14.0 (amd64)", Version = "14.0.25420")
Win32_Product: Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219 (IdentifyingNumber = "{1D8E6291-B0D5-35EC-8441-6616F567A0F7}", Name = "Microsoft Visual C?? 2010  x64 Redistri..., Version = "10.0.40219")
Win32_Product: Microsoft Visual Studio 2015 Update 3 Diagnostic Tools - ENU (IdentifyingNumber = "{0DC92391-4C2B-4C35-A674-EBDEE5ABB375}", Name = "Microsoft Visual Studio 2015 Update 3 D..., Version = "14.0.25420")
Win32_Product: Microsoft Blend for Visual Studio 2015 - ENU (IdentifyingNumber = "{BAF28CA1-4B3C-36C7-9136-4597ED8694BB}", Name = "Microsoft Blend for Visual Studio 2015 ..., Version = "14.0.25420")
Win32_Product: Microsoft Visual C++ 2005 Redistributable (x64) (IdentifyingNumber = "{ad8a2fa1-06e7-4b0d-927d-6e54b3d31028}", Name = "Microsoft Visual C?? 2005 Redistributab..., Version = "8.0.61000")
Win32_Product: Dolby Digital Plus Home Theater (IdentifyingNumber = "{7E3D8FA1-6092-469A-955B-68FC4A2C67CA}", Name = "Dolby Digital Plus Home Theater", Version = "7.5.1.1")
Win32_Product: Microsoft Visual Studio 2015 SDK - ENU (IdentifyingNumber = "{67A74EC1-A89D-3553-B38D-D17D4991CD2F}", Name = "Microsoft Visual Studio 2015 SDK - ENU", Version = "14.0.23107")
Win32_Product: Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219 (IdentifyingNumber = "{F0C3E5D1-1ADE-321E-8167-68EF0DE699A5}", Name = "Microsoft Visual C?? 2010  x86 Redistri..., Version = "10.0.40219")
Win32_Product: Dependency Package Update (IdentifyingNumber = "{5BEFE1E1-F597-4B79-913B-15FFDB25B744}", Name = "Dependency Package Update", Version = "1.6.32.00")
Win32_Product: Roslyn Language Services - x86 (IdentifyingNumber = "{6970C7E1-F99D-388D-8903-DF8FCE677FED}", Name = "Roslyn Language Services - x86", Version = "14.0.25431")
Win32_Product: Test Tools for Microsoft Visual Studio 2015 (IdentifyingNumber = "{9EABBFE1-7EED-47D9-8FB8-21D7E4808057}", Name = "Test Tools for Microsoft Visual Studio ..., Version = "14.0.23107")
Win32_Product: SQL Server 2012 Management Studio (IdentifyingNumber = "{26BFF1F1-5C03-4C55-9C7C-FD65889AFA70}", Name = "SQL Server 2012 Management Studio", Version = "11.3.6020.0")
Win32_Product: Microsoft Visual Studio 2015 Windows Diagnostic Tools - ENU (IdentifyingNumber = "{AB5A27F1-57C7-4E4C-90C4-28E55272FD6F}", Name = "Microsoft Visual Studio 2015 Windows Di..., Version = "14.0.25420")
Win32_Product: Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005 (IdentifyingNumber = "{13A4EE12-23EA-3371-91EE-EFB36DDFFF3E}", Name = "Microsoft Visual C?? 2013 x86 Minimum R..., Version = "12.0.21005")
Win32_Product: Microsoft Visual Studio 2015 Devenv (IdentifyingNumber = "{FC1F3422-0C94-3178-AD95-3EA889DF55AF}", Name = "Microsoft Visual Studio 2015 Devenv", Version = "14.0.23107")
Win32_Product: Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005 (IdentifyingNumber = "{F8CFEB22-A2E7-3971-9EDA-4B11EDEFC185}", Name = "Microsoft Visual C?? 2013 x86 Additiona..., Version = "12.0.21005")
Win32_Product: vs_update3notification (IdentifyingNumber = "{AB3DF932-C990-34D4-BF43-970F760DA3CD}", Name = "vs_update3notification", Version = "14.0.25431")
Win32_Product: AzureTools.Notifications (IdentifyingNumber = "{1E5CA362-39B6-4BD0-B9C0-69CF15F0FEA2}", Name = "AzureTools.Notifications", Version = "2.7.30611.1601")
Win32_Product: Oracle Database 11g Express Edition (IdentifyingNumber = "{05A7B662-80A3-4EB9-AE1D-89A62449431C}", Name = "Oracle Database 11g Express Edition", Version = "11.2.0")
